"gene_id","832_M_281","832_M_BTK_217","832_N_273","832_N_BTK_209","832_P_289","832_P_BTK_225","832_T_297","832_T_BTK_233","833_M_280","833_M_BTK_216","833_N_272","833_N_BTK_208","833_P_288","833_P_BTK_224","833_T_296","833_T_BTK_232","entrez_id","transcript_id","gene_symbol"
99,17.6,11.77,37.15,37.88,1209.33,220.21,43.46,100.28,21.72,9.12,2.28,2777.98,115.5,2,0.28,0,"9906","uc001ahy.3,uc001aia.2","SLC35E2"
100,13,2,2,3,189.4,67.07,0,0,6,0,25.02,257.56,13.12,0,0,0,"65220","uc001aic.3,uc001aid.4,uc001aie.3,uc009vkx.1,uc010nyv.2","NADK"
101,14,7,132.67,32,324.02,2,35,0,3,0,5,4612,11.05,0,1,0,"2782","uc001aif.4,uc009vky.4,uc031tmu.1","GNB1"
102,0,1,0,0,9,0,0,0,0,0,0,17,0,0,0,0,"163688","uc001aih.1","CALML6"
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"339456","uc001aii.2,uc001aij.2","TMEM52"
104,0,0,0,0,0,0,0,0,0,68,0,24,0,0,0,0,NA,"uc001aik.3,uc001ail.3",NA
105,14.68,1.05,4.41,3.71,274.04,46.77,48.68,20.7,4.41,4.02,1.02,1150.95,103.94,4.03,4.01,0,"85452","uc001aim.1,uc001ain.1,uc009vkz.1","CFAP74"
106,0.81,3.11,0,12.04,30.96,33.79,4.02,6.31,2.45,4.04,1,121.7,12.71,0,0,0,NA,"uc001aio.1",NA
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2563","uc001aip.2","GABRD"
108,20.92,8,3,0,3,1,2,0,2,0,1,415,0,0,0,0,"5590","uc001aiq.3,uc001air.3,uc001ais.3,uc001ait.3,uc009vlb.3,uc010nyw.2,uc010nyx.2","PRKCZ"
109,0.97,0,0,1,13.31,4,0,1,0,0,1,183.9,1.71,0,1.36,0,NA,"uc001aiu.1",NA
110,12.23,20.22,14.53,17.39,467.97,64.78,40.2,41.07,9.2,2.04,4.71,2951.61,52.46,1,6.51,0,"199990","uc001aiv.3,uc001aiw.3,uc001aix.2,uc001aiy.3,uc031pkt.1,uc031pku.1,uc031pkv.1,uc031tmv.1,uc031tmw.1","C1orf86"
111,0.97,1.18,0,2.8,34.95,7.51,5.63,0,0,0,0,296.84,3.96,0,0,0,NA,"uc001aiz.3",NA
112,34,2,32.37,19,201.99,12.4,59.74,7,3,0,0,1902.98,16,43.05,69,0,"6497","uc001aja.4","SKI"
113,1,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,"79906","uc001ajb.1,uc001ajd.1,uc009vld.3","MORN1"
114,0,0,1,0,1.33,0,0,1,0,0,0,16,0,0,0,0,"100129534","uc001ajc.4","LOC100129534"
115,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,"79906","uc010nyy.2","MORN1"
116,7,27.75,29.78,15.01,76.32,46.07,0,2,27.12,8,0,734.75,42.47,2,3,0,"11079","uc001aje.2,uc001ajf.2","RER1"
117,0,0,66,0,0,0,0,0,1,1,0,105.25,30.53,0,0,0,"5192","uc001ajg.3,uc001ajh.3","PEX10"
118,0,0,0,0,84,0,0,2.5,0,0,0,76.5,0,0,0,0.5,"9651","uc001aji.1,uc001ajj.1,uc001ajk.1,uc001ajl.1,uc009vle.1,uc010nyz.2","PLCH2"
119,0,0,0.5,0,290.5,1,0,0,0,0,0,720.5,14.5,0,0.5,0,"55229","uc001ajm.1,uc010nza.1","PANK4"
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"388585","uc001ajn.3","HES5"
121,0.5,3.95,0,0.95,2.07,0.5,0,0,0,0,0,276.49,0.5,0,0,0,"115110","uc001ajo.2,uc001ajp.2,uc001ajq.2","LOC115110"
