"gene_id","832_M_281","832_M_BTK_217","832_N_273","832_N_BTK_209","832_P_289","832_P_BTK_225","832_T_297","832_T_BTK_233"
373,0,0,0,0,1,0,0,0
374,0,0,0,0,0,0,0,0
375,114.22,189.72,0,1,268.84,109.8,132.03,6.44
376,0,0,0,0,0,0,0,0
377,162.01,66.04,15,27,462.7,291.94,66,58
378,0,0,0,0,36.27,8.77,0,2
379,8,98.04,11,12,163.88,2,285.84,3
380,4.87,21.34,55.07,3.31,177.13,24.82,11.58,12.07
381,5.75,1.13,2.37,4.89,11.99,2.67,2.67,2.11
382,0,0,0,0,0,0,0,0
383,0,0,0,0,0,0,0,0
384,0,0,0,0,0,0,0,0
385,0,0,0,0,126.59,7.52,1,4.95
386,0,0,0,0,0,0,0,0
387,0,0,0,0,0,0,0,0
388,0,0,0,0,0,0,0,0
389,60.29,38.35,115.02,3.53,665.92,4.55,11.93,24.77
390,23.32,19.15,12.24,94.64,257.68,68.53,25.92,17.1
391,0,0,0,0,52.82,72.49,0,0
392,5.75,1.13,2.37,4.89,11.99,2.67,2.67,2.11
393,0,0,0,0,0,0,0,0
394,0,0,0,0,0,0,0,0
395,0,0,0,0,0,0,0,0
396,0,0,0,0,0,0,0,0
397,0,0,0,0,0,0,0,0
398,0,0,0,0,0,0,0,0
399,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0
401,6,60.68,1.5,49.55,56.36,6.92,17.45,107.09
402,5.75,1.13,2.37,4.89,11.99,2.67,2.67,2.11
403,0,0,0,0,14.32,0,0,0
404,0,0,0,0,0,0,0,0
405,0,0,0,0,0,0,0,0
406,0,0,0,0,0,0,0,0
407,0,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0,0
409,0,0,0,0,0,0,0,0
410,1,0,0,0,0,0,0,0
411,0,0,0,0,0,0,0,0
412,5.75,1.13,2.37,4.89,11.99,2.67,2.67,2.11
413,0,0,0,0,0,0,0,0
414,1,2,3,0,199.33,2,163,0
415,45.04,8,87,0,263,0,15,0
416,18,115,0,0,0,0,0,0
417,0,0,0,0,0,0,0,0
418,0,0,0,0,0,0,0,0
419,0,0,0,0,0,0,0,0
420,0,0,0,0,0,0,0,0
421,0,0,1,0,1,0,0,0
422,0,0,0,0,0,0,0,0
423,10.98,3,6,1,117,45,16.97,11.12
424,0,0,0,0,0,0,0,0
425,1,0,1,0,0,0,0,0
426,0,0,0,0,0,0,0,0
427,0,0,0,0,0,0,0,0
428,0,0,0,0,0,0,0,0
429,0,0,0,0,0,0,0,0
430,0,0,0,0,0,0,0,0
431,0,0,0,0,0,0,0,0
432,0,0,0,0,0,0,0,0
433,0,0,0,0,0,0,0,0
434,0,0,0,0,0,0,0,0
435,0,0,0,0,0,0,0,0
436,0,0,0,0,1,0,18,0
437,0,0,0,0,0,0,0,0
438,0,0,0,0,0,0,0,0
439,0,0,4,0,103,0,2,0
440,222.99,44.02,350.48,12.39,3166.74,258.78,599.51,239.22
441,30.83,28.93,3.98,132.61,1039.12,188.02,70.38,25.57
442,9.86,10.53,11.25,3.36,39.57,44.49,48.41,1.63
443,0,1,0,3,13.71,8.39,1.19,0
444,0,0,0,0,0,0,0,0
445,19.28,42.53,3.85,19.56,55.29,40.17,7.84,6.78
446,7,31.04,2,5.02,95.11,13.24,27.32,4
447,7.34,86.22,0,0,79.73,12.93,5.97,0.47
448,17.88,10.92,116,7,2716.59,3.26,32.16,198.3
449,9.48,5,0,1.72,76.55,16.28,6.22,0
450,0,0,0,0,22.62,11.31,0,0
451,0,0,0,0,0,0,0,0
452,0,0,0,2,0,0,0,15
453,15.89,85.64,15.35,15.86,163.51,27.55,27.71,68.44
454,68.73,9.43,13.18,7.03,8.17,3.09,38.11,5
455,0,0,0,0,0,0,12,0
456,51.12,9.12,0,22.89,236.3,9.14,2,7
457,0,0,0,0,0,0,0,0
458,0,0,0,0,0,0,0,0
459,51.44,0,2.44,4.3,274.84,36.69,1.29,7.52
460,0,0,0,0,0,0,0,0
461,0,0,0,0,0,0,0,0
462,0,0,0,0,0,0,0,0
463,0,0,5,0,0,0,0,1
464,0,0,0,0,0,0,0,0
465,0,0,0,0,5,0,0,0
